Bit pattern,Calls
"['1', '1', '1', '1', '1']",strong_buy
"['1', '1', '1', '1', '0']",strong_buy
"['1', '1', '1', '0', '1']",strong_buy
"['1', '1', '0', '1', '1']",strong_buy
"['1', '0', '1', '1', '1']",strong_buy
"['0', '1', '1', '1', '1']",buy
"['1', '1', '1', '0', '0']",strong_buy
"['1', '1', '0', '1', '0']",buy
"['1', '0', '1', '1', '0']",buy
"['0', '1', '1', '1', '0']",hold
"['1', '1', '0', '0', '1']",buy
"['1', '0', '1', '0', '1']",hold
"['0', '1', '1', '0', '1']",hold
"['1', '0', '0', '1', '1']",hold
"['0', '1', '0', '1', '1']",hold
"['0', '0', '1', '1', '1']",hold
"['1', '1', '0', '0', '0']",hold
"['1', '0', '1', '0', '0']",hold
"['1', '0', '0', '1', '0']",hold
"['1', '0', '0', '0', '1']",hold
"['0', '1', '1', '0', '0']",hold
"['0', '1', '0', '1', '0']",hold
"['0', '1', '0', '0', '1']",sell
"['0', '0', '1', '1', '0']",sell
"['0', '0', '1', '0', '1']",sell
"['0', '0', '0', '1', '1']",hold
"['1', '0', '0', '0', '0']",hold
"['0', '1', '0', '0', '0']",hold
"['0', '0', '1', '0', '0']",sell
"['0', '0', '0', '1', '0']",strong_sell
"['0', '0', '0', '0', '1']",strong_sell
"['0', '0', '0', '0', '0']",strong_sell
